Advert Reference,Property Reference,Property Address,Bid Opening Date,Bid Closing Date,Number Of Bedrooms,Number Of Bedspaces,Total Bidders,Successful Bid Points,Ward Code,Ward Name,Lower Super Output Area Code,Lower Super Output Area Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
288616,30120,"Flat 7, 71 Endell Street, London, WC2H 9AJ",19/01/2017,23/01/2017,3,6,281,470,E05000138,Holborn and Covent Garden,E01000919,,530152,181231,-0.125711,51.515018,"(51.515018, -0.125711)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
193798,21487,"Flat 21, Storrington, Regent Square, London, WC1H 8LA",29/09/2016,03/10/2016,1,2,148,450,E05000141,King's Cross,E01000941,,530341,182555,-0.1225,51.526873,"(51.526873, -0.1225)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199402,21045,"Flat 20, Richbell, Boswell Street, London, WC1N 3PZ",27/07/2017,31/07/2017,1,1,87,420,E05000138,Holborn and Covent Garden,E01000915,,530497,181825,-0.120522,51.520277,"(51.520277, -0.120522)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288594,30534,"Flat 8, St Augustines House, Werrington Street, London, NW1 1QE",16/03/2017,20/03/2017,1,2,121,250,E05000143,St Pancras and Somers Town,E01000955,,529564,182968,-0.133542,51.530763,"(51.530763, -0.133542)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180878,3982,"305 Grafton Road, London, NW5 4BJ",11/05/2017,15/05/2017,0,1,102,190,E05000134,Gospel Oak,E01000891,,528321,185255,-0.150619,51.551599,"(51.551599, -0.150619)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180038,39444,"Flat C,11 Evangelist Road,London,NW5 1UA",17/03/2016,21/03/2016,1,2,183,530,E05000139,Kentish Town,E01000928,,528840,185530,-0.143037,51.553953,"(51.553953, -0.143037)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
181568,32845,"Flat 8, Glover House, Harben Road, London, NW6 4RJ",22/06/2017,26/06/2017,1,2,128,250,E05000144,Swiss Cottage,E01000960,,526443,184426,-0.177988,51.544573,"(51.544573, -0.177988)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
186275,33980,"Flat 9, Somerton House, Duke's Road, London, WC1H 9AA",03/08/2017,07/08/2017,1,2,88,630,E05000141,King's Cross,E01000942,,529884,182639,-0.129053,51.527733,"(51.527733, -0.129053)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
182098,20286,"Flat 2,Ashington,Warden Road,London,NW5 4RB",11/08/2016,15/08/2016,2,4,465,150,E05000136,Haverstock,E01000901,,528526,184934,-0.147781,51.548668,"(51.548668, -0.147781)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286109,30426,"Apartment 401, Lily Building, Heritage Lane, London, NW6 2BZ",02/03/2017,06/03/2017,3,5,214,525,E05000145,West Hampstead,E01000973,,525341,184648,-0.193792,51.546814,"(51.546814, -0.193792)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288711,29170,"Flat 13, Charlwood House, Midhope Street, London, WC1H 8HL",02/06/2016,06/06/2016,1,1,91,210,E05000141,King's Cross,E01000941,,530328,182703,-0.122632,51.528206,"(51.528206, -0.122632)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194228,1987,"18 Eresby Place, London, NW6 4JT",14/04/2016,18/04/2016,1,2,145,300,E05000140,Kilburn,E01000931,,525215,184064,-0.195816,51.541593,"(51.541593, -0.195816)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
197856,29092,"Flat 5, Wolsey House, Oseney Crescent, London, NW5 2AX",17/08/2017,21/08/2017,2,4,353,600,E05000139,Kentish Town,E01000926,,529556,184920,-0.13294,51.548307,"(51.548307, -0.13294)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199575,39721,"Flat C,19 Lowfield Road,London,NW6 2PP",24/08/2017,28/08/2017,0,0,102,200,E05000145,West Hampstead,E01000973,,525164,184465,-0.196408,51.545208,"(51.545208, -0.196408)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
101730,19694,"Flat 19,Barnbrough,Camden Street,London,NW1 0HL",01/06/2017,05/06/2017,2,3,444,975,E05000143,St Pancras and Somers Town,E01000959,,529258,183726,-0.137673,51.537645,"(51.537645, -0.137673)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199118,35764,"Flat A, 356 Finchley Road, London, NW3 7AJ",07/04/2016,11/04/2016,2,4,657,745,E05000133,Frognal and Fitzjohns,E01000884,,525133,186010,-0.196306,51.5591,"(51.5591, -0.196306)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
109461,33918,"Flat 9,Newlands,Harrington Street,London,NW1 3SJ",19/10/2017,23/10/2017,3,3,308,450,E05000142,Regent's Park,E01000950,,529150,182840,-0.139554,51.529708,"(51.529708, -0.139554)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180519,30972,"Flat 62, Kilburn Gate, Kilburn Priory, London, NW6 5UX",21/01/2016,25/01/2016,0,1,177,400,E05000140,Kilburn,E01000930,,525643,183485,-0.189854,51.536295,"(51.536295, -0.189854)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
289757,15732,"Flat 44, St Nicholas Flats, Werrington Street, London, NW1 1PT",25/05/2017,29/05/2017,0,1,99,170,E05000143,St Pancras and Somers Town,E01000954,,529511,183125,-0.134248,51.532186,"(51.532186, -0.134248)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
108989,1326,"145 Stanhope Street, London, NW1 3LR",30/03/2017,03/04/2017,2,4,582,1230,E05000142,Regent's Park,E01000951,,529044,182624,-0.14116,51.527791,"(51.527791, -0.14116)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191677,24410,"Flat 3, Mullen Tower, Mount Pleasant, London, WC1X 0AG",14/07/2016,18/07/2016,0,1,146,210,E05000138,Holborn and Covent Garden,E01000917,,531033,182095,-0.112701,51.522579,"(51.522579, -0.112701)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
181781,16117,"Flat 122, Wendling, Haverstock Road, London, NW5 4QX",12/01/2017,16/01/2017,1,2,136,455,E05000134,Gospel Oak,E01000890,,527962,185268,-0.155789,51.551798,"(51.551798, -0.155789)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288541,31110,"Apartment 2, White Lion House, 15 St. Giles High Street, London, WC2H 8LQ",10/08/2017,14/08/2017,4,6,75,210,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198248,15156,"Flat 11, Milverton, Grafton Road, London, NW5 4RJ",12/05/2016,16/05/2016,2,3,424,455,E05000136,Haverstock,E01000901,,528387,185107,-0.149721,51.550254,"(51.550254, -0.149721)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
197059,33642,"Flat 9, Blashford, Adelaide Road, London, NW3 3RX",13/10/2016,17/10/2016,2,3,384,560,E05000128,Belsize,E01000846,,527560,184323,-0.161926,51.543396,"(51.543396, -0.161926)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
289757,30848,"Flat 44, St Nicholas Flats, Werrington Street, London, NW1 1PT",25/05/2017,29/05/2017,0,1,99,170,E05000143,St Pancras and Somers Town,E01000954,,529511,183125,-0.134248,51.532186,"(51.532186, -0.134248)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
182377,38782,"Flat B,6 Gaisford Street,London,NW5 2ED",22/09/2016,26/09/2016,4,6,99,690,E05000131,Cantelowes,E01000870,,529078,184886,-0.139842,51.548111,"(51.548111, -0.139842)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
187748,22012,"Flat 23, Blemundsbury, Dombey Street, London, WC1N 3PF",27/07/2017,31/07/2017,3,0,174,250,E05000138,Holborn and Covent Garden,E01000915,,530579,181919,-0.119306,51.521103,"(51.521103, -0.119306)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
190227,27051,"Flat 4, Tonbridge House, Tonbridge Street, London, WC1H 9PA",21/01/2016,25/01/2016,1,2,167,700,E05000141,King's Cross,E01000941,,530237,182643,-0.123966,51.527688,"(51.527688, -0.123966)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
289189,23023,"Flat D, 13 Mornington Crescent, London, NW1 7RG",17/11/2016,21/11/2016,1,2,149,540,E05000142,Regent's Park,E01000947,,529063,183228,-0.140666,51.533214,"(51.533214, -0.140666)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
197226,4201,"33 Agar Grove, London, NW1 9UG",26/05/2016,30/05/2016,1,2,141,430,E05000131,Cantelowes,E01000868,,529780,184382,-0.129909,51.543421,"(51.543421, -0.129909)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
106622,30023,"Flat 58, Hawkshead, Stanhope Street, London, NW1 3RJ",25/05/2017,29/05/2017,1,2,129,455,E05000142,Regent's Park,E01000950,,529111,182824,-0.140122,51.529573,"(51.529573, -0.140122)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
103325,22044,"Flat 23, Chalton House, Chalton Street, London, NW1 1HH",17/08/2017,21/08/2017,1,2,99,350,E05000143,St Pancras and Somers Town,E01000956,,529716,182956,-0.131357,51.530621,"(51.530621, -0.131357)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196251,16289,"Flat 13, 14-18 Springfield Lane, London, NW6 5UB",10/08/2017,14/08/2017,1,2,109,275,E05000140,Kilburn,E01000930,,525564,183529,-0.190977,51.536708,"(51.536708, -0.190977)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286064,29483,"Flat C, 18 Hilgrove Road, London, NW6 4TN",11/08/2016,15/08/2016,3,5,244,400,E05000144,Swiss Cottage,E01000961,,526419,184108,-0.178448,51.541721,"(51.541721, -0.178448)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
102415,25158,"Flat 32,Mayford,Oakley Square,London,NW1 1NX",18/05/2017,22/05/2017,1,2,154,810,E05000143,St Pancras and Somers Town,E01000952,,529348,183230,-0.136558,51.533167,"(51.533167, -0.136558)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
187373,21060,"Flat 20, Scrope House, Portpool Lane, London, EC1N 7SP",05/05/2016,09/05/2016,1,2,159,420,E05000138,Holborn and Covent Garden,E01000916,,531173,181989,-0.110724,51.521594,"(51.521594, -0.110724)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196990,35714,"Flat A,34 Dynham Road,London,NW6 2NR",07/07/2016,11/07/2016,1,2,226,500,E05000140,Kilburn,E01000932,,525278,184319,-0.194817,51.543871,"(51.543871, -0.194817)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
197925,23728,"Flat 29,Camelot House,Camden Park Road,London,NW1 9AR",22/12/2016,02/01/2017,2,3,312,415,E05000131,Cantelowes,E01000869,,529839,184799,-0.128905,51.547155,"(51.547155, -0.128905)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286521,28663,"Flat 4, St Anthonys Flats, Aldenham Street, London, NW1 1SA",18/02/2016,22/02/2016,0,0,143,300,E05000143,St Pancras and Somers Town,E01000954,,529581,183153,-0.133229,51.532422,"(51.532422, -0.133229)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196332,2847,"225 Grafton Road, London, NW5 4BH",04/08/2016,08/08/2016,0,1,139,350,E05000134,Gospel Oak,E01000891,,528321,185255,-0.150619,51.551599,"(51.551599, -0.150619)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195384,17191,"Flat 14, Ludham, Lismore Circus, London, NW5 4SE",03/08/2017,07/08/2017,3,5,231,800,E05000134,Gospel Oak,E01000888,,527987,185418,-0.155374,51.55314,"(51.55314, -0.155374)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288766,28628,"Flat 3, 10 Cubitt Street, London, WC1X 0LR",11/02/2016,15/02/2016,2,4,331,455,E05000141,King's Cross,E01000936,,530817,182585,-0.115631,51.527033,"(51.527033, -0.115631)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
102229,24639,"Flat 30, Cecil Rhodes House, Goldington Street, London, NW1 1UG",14/04/2016,18/04/2016,3,5,263,375,E05000143,St Pancras and Somers Town,E01000953,,529719,183377,-0.131158,51.534403,"(51.534403, -0.131158)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
188183,14000,"Flat 1, Walter Northcott House, Fortune Green Road, London, NW6 1UD",25/08/2016,29/08/2016,2,3,458,300,E05000132,Fortune Green,E01000874,,525345,185345,-0.193486,51.553077,"(51.553077, -0.193486)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
187695,29955,"Flat 57, Redman Building, Portpool Lane, London, EC1N 7UB",07/04/2016,11/04/2016,0,1,150,260,E05000138,Holborn and Covent Garden,E01000917,,531111,181929,-0.111639,51.521069,"(51.521069, -0.111639)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
188377,18603,"Flat 162, Waxham, Mansfield Road, London, NW3 2JL",17/08/2017,21/08/2017,1,2,93,1590,E05000134,Gospel Oak,E01000890,,527854,185408,-0.157295,51.55308,"(51.55308, -0.157295)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199038,36298,"Flat A, 57 Mansfield Road, London, NW3 2JE",20/04/2017,24/04/2017,2,4,496,870,E05000134,Gospel Oak,E01000886,,528143,185540,-0.153081,51.554201,"(51.554201, -0.153081)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288542,31122,"Apartment 1, White Lion House, 15 St. Giles High Street, London, WC2H 8LQ",10/08/2017,14/08/2017,4,7,77,240,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196096,4663,"38 Chester Road, London, N19 5BZ",24/11/2016,28/11/2016,6,11,4,355,E05000137,Highgate,E01000908,,528837,186617,-0.142656,51.563724,"(51.563724, -0.142656)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199968,70099,"Upper Flat, 30 Camden Road, London, NW1 9DP",04/02/2016,08/02/2016,4,0,131,480,E05000130,Camden Town with Primrose Hill,E01000863,,529009,183949,-0.14118,51.539706,"(51.539706, -0.14118)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
193294,31505,"Flat 69, Wendling, Haverstock Road, London, NW5 4QU",24/08/2017,28/08/2017,3,5,243,695,E05000134,Gospel Oak,E01000890,,527998,185204,-0.155293,51.551214,"(51.551214, -0.155293)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196238,33412,"Flat 86, Foundling Court, Brunswick Centre, London, WC1N 1QG",25/02/2016,29/02/2016,2,4,384,1155,E05000129,Bloomsbury,E01000853,,530239,182214,-0.124095,51.523832,"(51.523832, -0.124095)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180320,22453,"Flat 24, Hastings House, Hastings Street, London, WC1H 9DT",27/07/2017,31/07/2017,2,0,338,810,E05000141,King's Cross,E01000942,,530202,182720,-0.124441,51.528388,"(51.528388, -0.124441)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180128,20787,"Flat 20,25 Gresse Street,London,W1T 1QW",07/04/2016,11/04/2016,1,2,171,580,E05000129,Bloomsbury,E01000850,,529675,181487,-0.132487,51.517429,"(51.517429, -0.132487)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191423,4631,"373 Grafton Road, London, NW5 4BL",05/10/2017,09/10/2017,0,1,91,200,E05000134,Gospel Oak,E01000891,,528267,185329,-0.15137,51.552277,"(51.552277, -0.15137)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288657,29853,"Flat 27, Parnell House, Streatham Street, London, WC1A 1JB",03/11/2016,07/11/2016,2,2,281,400,E05000129,Bloomsbury,E01000855,,529994,181469,-0.127899,51.517194,"(51.517194, -0.127899)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
189795,5611,"49 Marnham Avenue, London, NW2 2SS",24/03/2016,28/03/2016,2,4,496,375,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
108511,31954,"Flat 7, Silverdale, Hampstead Road, London, NW1 3SE",04/08/2016,08/08/2016,1,2,125,350,E05000142,Regent's Park,E01000950,,529171,182973,-0.139203,51.530898,"(51.530898, -0.139203)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180356,19809,"Flat 19, Glover House, Harben Road, London, NW6 4RJ",03/03/2016,07/03/2016,1,2,171,630,E05000144,Swiss Cottage,E01000960,,526443,184426,-0.177988,51.544573,"(51.544573, -0.177988)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195259,20392,"Flat 2, Cranley Buildings, Brooke's Market, London, EC1N 7SY",26/05/2016,30/05/2016,2,4,507,540,E05000138,Holborn and Covent Garden,E01000917,,531238,181764,-0.109871,51.519557,"(51.519557, -0.109871)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195021,68244,"Flat A, 27 Minster Road, London, NW2 3SG",15/12/2016,02/01/2017,2,3,517,390,E05000132,Fortune Green,E01000875,,524520,185260,-0.205409,51.552495,"(51.552495, -0.205409)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286089,29901,"Flat Ground Floor, 63 Warren Street, London, W1T 5NZ",22/12/2016,02/01/2017,2,3,189,420,E05000129,Bloomsbury,E01000854,,529184,182244,-0.139257,51.524346,"(51.524346, -0.139257)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192133,15686,"Flat 12, Cavendish Mansions, Clerkenwell Road, London, EC1R 5DQ",16/06/2016,20/06/2016,1,2,171,350,E05000138,Holborn and Covent Garden,E01000917,,531086,182027,-0.111963,51.521956,"(51.521956, -0.111963)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
197833,322,"103 Solent Road, London, NW6 1TY",08/09/2016,12/09/2016,1,2,161,525,E05000145,West Hampstead,E01000971,,525091,185152,-0.197216,51.551399,"(51.551399, -0.197216)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288508,31347,"Flat 4, 2 Hand Axe Yard, London, WC1X 8BD",14/09/2017,18/09/2017,1,2,117,200,E05000141,King's Cross,E01000939,,530443,182839,-0.120899,51.529404,"(51.529404, -0.120899)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
106220,36354,"Flat A,6 Mornington Place,London,NW1 7RP",26/07/2017,31/07/2017,2,10,513,1005,E05000142,Regent's Park,E01000948,,528995,183292,-0.141596,51.533807,"(51.533807, -0.141596)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286063,29482,"Flat D, 53 Acton Street, London, WC1X 9LZ",11/08/2016,15/08/2016,3,4,168,190,E05000141,King's Cross,E01000938,,530662,182725,-0.117812,51.528327,"(51.528327, -0.117812)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196315,6909,"7 Goldsmiths Place, Springfield Lane, London, NW6 5UG",16/11/2017,20/11/2017,0,1,73,280,E05000140,Kilburn,E01000930,,525597,183593,-0.190478,51.537276,"(51.537276, -0.190478)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
185940,37091,"Flat B, 11 Marquis Road, London, NW1 9UD",23/03/2017,27/03/2017,1,2,142,405,E05000131,Cantelowes,E01000864,,529939,184560,-0.127552,51.544984,"(51.544984, -0.127552)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
193200,37668,"Flat B, 20 Patshull Road, London, NW5 2JY",30/03/2017,03/04/2017,0,0,124,200,E05000131,Cantelowes,E01000870,,529145,184765,-0.138921,51.547008,"(51.547008, -0.138921)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286105,30395,"Apartment 003, Charlotte Building, Heritage Lane, London, NW6 2BZ",02/03/2017,06/03/2017,3,5,255,310,E05000145,West Hampstead,E01000973,,525341,184648,-0.193792,51.546814,"(51.546814, -0.193792)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
103244,26918,"Flat 4, Morland House, Cranleigh Street, London, NW1 1PN",03/03/2016,07/03/2016,2,3,461,270,E05000143,St Pancras and Somers Town,E01000954,,529438,183124,-0.1353,51.532194,"(51.532194, -0.1353)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288554,30961,"35 Churchway, London, NW1 1LJ",27/07/2017,31/07/2017,4,7,65,875,E05000143,St Pancras and Somers Town,E01000956,,529764,182752,-0.13074,51.528776,"(51.528776, -0.13074)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
184146,28315,"Flat 48, Lissenden Mansions, Lissenden Gardens, London, NW5 1PR",25/05/2017,29/05/2017,3,0,368,765,E05000137,Highgate,E01000912,,528392,185842,-0.149381,51.556859,"(51.556859, -0.149381)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194367,32760,"Flat 8, Chester House, Chester Road, London, N19 5DJ",26/01/2017,30/01/2017,1,2,120,325,E05000137,Highgate,E01000908,,528715,186627,-0.144437,51.56384,"(51.56384, -0.144437)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
109604,33026,"Flat 8, Rydal Water, Hampstead Road, London, NW1 3ED",30/06/2016,04/07/2016,2,4,536,570,E05000142,Regent's Park,E01000951,,529168,182752,-0.139327,51.528913,"(51.528913, -0.139327)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191005,6020,"54 Dartmouth Park Avenue,London,NW5 1JN",23/06/2016,27/06/2016,2,4,515,550,E05000137,Highgate,E01000911,,528886,186327,-0.142082,51.561105,"(51.561105, -0.142082)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194442,39243,"Flat B, 9 Wicklow Street, London, WC1X 9JX",26/05/2016,30/05/2016,0,1,160,220,E05000141,King's Cross,E01000938,,530732,182867,-0.116751,51.529587,"(51.529587, -0.116751)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
104066,4419,"35 Goldington Street, London, NW1 1UE",11/02/2016,15/02/2016,3,5,423,750,E05000143,St Pancras and Somers Town,E01000953,,529701,183353,-0.131427,51.534192,"(51.534192, -0.131427)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
103922,39476,"Flat C,114 College Place,London,NW1 0DJ",07/04/2016,11/04/2016,2,3,483,550,E05000143,St Pancras and Somers Town,E01000958,,529370,183780,-0.136039,51.538105,"(51.538105, -0.136039)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
197269,17379,"Flat 141, Bray, Fellows Road, London, NW3 3JT",07/04/2016,11/04/2016,2,4,347,550,E05000128,Belsize,E01000846,,527247,184337,-0.166432,51.543593,"(51.543593, -0.166432)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
184025,471,"11 Howard Close, London, NW2 2SR",10/08/2017,14/08/2017,2,3,366,1630,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191627,27717,"Flat 44,5-7 Belsize Grove,London,NW3 4UT",16/03/2017,20/03/2017,0,1,74,165,E05000128,Belsize,E01000843,,527312,184817,-0.165322,51.547892,"(51.547892, -0.165322)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
104283,37221,"Flat B, 124 Royal College Street, London, NW1 0TA",11/05/2017,15/05/2017,0,1,117,180,E05000143,St Pancras and Somers Town,E01000957,,529288,184054,-0.13712,51.540586,"(51.540586, -0.13712)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288759,28682,"Flat 9, Princes Park Apartments North, 52 Prince Of Wales Road, London, NW5 3LN",11/02/2016,15/02/2016,3,5,263,935,E05000136,Haverstock,E01000901,,528577,184740,-0.147117,51.546913,"(51.546913, -0.147117)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192779,41576,"51G Rowley Way, London, NW8 0SH",19/05/2016,23/05/2016,1,2,113,300,E05000140,Kilburn,E01000935,,525998,183893,-0.184592,51.539882,"(51.539882, -0.184592)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
182898,30826,"Flat 60, Radcliffe House, Portpool Lane, London, EC1N 7TY",02/06/2016,06/06/2016,1,2,125,305,E05000138,Holborn and Covent Garden,E01000916,,531127,182012,-0.111378,51.521812,"(51.521812, -0.111378)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198394,24029,"Flat 3, 49 Argyle Street, London, WC1H 8EF",21/04/2016,25/04/2016,0,1,157,437,E05000141,King's Cross,E01000939,,530425,182767,-0.121211,51.528759,"(51.528759, -0.121211)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
186843,40977,"Flat D,41 Burton Street,London,WC1H 9AL",28/01/2016,01/02/2016,1,2,170,440,E05000141,King's Cross,E01000943,,529945,182535,-0.128212,51.526785,"(51.526785, -0.128212)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198902,7437,"8 Silverbirch Walk,London,NW3 2HH",18/08/2016,22/08/2016,3,5,292,340,E05000136,Haverstock,E01000902,,527994,184622,-0.155562,51.545985,"(51.545985, -0.155562)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
184297,33369,"Flat 85, Derby Lodge, Wicklow Street, London, WC1X 9LF",01/12/2016,05/12/2016,1,2,138,220,E05000141,King's Cross,E01000938,,530714,182880,-0.117005,51.529708,"(51.529708, -0.117005)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196656,13998,"Flat 1,Victoria Mansions,Sumatra Road,London,NW6 1PD",01/06/2017,05/06/2017,3,0,400,430,E05000145,West Hampstead,E01000973,,525466,184906,-0.191898,51.549105,"(51.549105, -0.191898)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288491,31491,"Flat B, 53 Acton Street, London, WC1X 9LZ",05/10/2017,09/10/2017,3,4,282,220,E05000141,King's Cross,E01000938,,530662,182725,-0.117812,51.528327,"(51.528327, -0.117812)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
108770,27333,"Flat 41, Hawkshead, Stanhope Street, London, NW1 3RJ",08/12/2016,12/12/2016,0,1,125,200,E05000142,Regent's Park,E01000950,,529111,182824,-0.140122,51.529573,"(51.529573, -0.140122)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
185824,37669,"Flat B,20 Primrose Gardens,London,NW3 4TN",21/04/2016,25/04/2016,1,2,225,525,E05000128,Belsize,E01000843,,527511,184717,-0.16249,51.546948,"(51.546948, -0.16249)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
